EURYTHMICS,THORN IN MY SIDE,https://music.youtube.com/search?q=EURYTHMICS+THORN+IN+MY+SIDE
GENESIS,INVISIBLE TOUCH,https://music.youtube.com/search?q=GENESIS+INVISIBLE+TOUCH
FREDA',VINDARNA,https://music.youtube.com/search?q=FREDA%27+VINDARNA
PETER GABRIEL,BIG TIME,https://music.youtube.com/search?q=PETER+GABRIEL+BIG+TIME
ROD STEWART,HERE TO ETERNITY,https://music.youtube.com/search?q=ROD+STEWART+HERE+TO+ETERNITY
STEVE WINWOOD,HIGHER LOVE,https://music.youtube.com/search?q=STEVE+WINWOOD+HIGHER+LOVE
OJJ! 600,OO-EE-BIM-BAM-BOP,https://music.youtube.com/search?q=OJJ%21+600+OO-EE-BIM-BAM-BOP
BIG DEAL,DU DU DU KAN GE KÄRLEK,https://music.youtube.com/search?q=BIG+DEAL+DU+DU+DU+KAN+GE+K%C3%84RLEK
OUTFIELD,YOUR LOVE,https://music.youtube.com/search?q=OUTFIELD+YOUR+LOVE
EL DEBARGE,WHO'S JOHNNY,https://music.youtube.com/search?q=EL+DEBARGE+WHO%27S+JOHNNY
LOU REED,NO MONEY DOWN,https://music.youtube.com/search?q=LOU+REED+NO+MONEY+DOWN
SMITHEREENS,SPEED OF LIFE,https://music.youtube.com/search?q=SMITHEREENS+SPEED+OF+LIFE
IMAGINATION,SUNSHINE,https://music.youtube.com/search?q=IMAGINATION+SUNSHINE
COSTE APETREA,ALLA HJÄRTAN,https://music.youtube.com/search?q=COSTE+APETREA+ALLA+HJ%C3%84RTAN
LASSE HOLM,JAG GARANTERAR DEJ,https://music.youtube.com/search?q=LASSE+HOLM+JAG+GARANTERAR+DEJ
BOB SEGER,LIKE A ROCK,https://music.youtube.com/search?q=BOB+SEGER+LIKE+A+ROCK
NINA LETAR UFO,10 000 VOLT,https://music.youtube.com/search?q=NINA+LETAR+UFO+10+000+VOLT
ALMA COGAN,TENNESSEE WALTZ (JOKER),https://music.youtube.com/search?q=ALMA+COGAN+TENNESSEE+WALTZ+%28JOKER%29
TED STRÖM,GENOM SOMMAREN,https://music.youtube.com/search?q=TED+STR%C3%96M+GENOM+SOMMAREN
BASSE WICKMAN,TROTS ALLT,https://music.youtube.com/search?q=BASSE+WICKMAN+TROTS+ALLT
DAVE STEWART & BARBARA GASKIN,THE LOCOMOTION,https://music.youtube.com/search?q=DAVE+STEWART+%26+BARBARA+GASKIN+THE+LOCOMOTION
ROXETTE,NEVERENDING LOVE,https://music.youtube.com/search?q=ROXETTE+NEVERENDING+LOVE
MADONNA,LOVE MAKES THE WORLD GO ROUND,https://music.youtube.com/search?q=MADONNA+LOVE+MAKES+THE+WORLD+GO+ROUND
LOVIN' SPOONFUL,SUMMER IN THE CITY (JOKER),https://music.youtube.com/search?q=LOVIN%27+SPOONFUL+SUMMER+IN+THE+CITY+%28JOKER%29
DAN HYLANDER,ÄLSKADE FRÄMLING,https://music.youtube.com/search?q=DAN+HYLANDER+%C3%84LSKADE+FR%C3%84MLING
AMAZULU,TOO GOOD TO BE FORGOTTEN,https://music.youtube.com/search?q=AMAZULU+TOO+GOOD+TO+BE+FORGOTTEN
DOCENTERNA,MAGISK ENERGI,https://music.youtube.com/search?q=DOCENTERNA+MAGISK+ENERGI
TAGES,EVERY RAINDROP MEANS A LOT (JOKER),https://music.youtube.com/search?q=TAGES+EVERY+RAINDROP+MEANS+A+LOT+%28JOKER%29
LIONEL RICHIE,DANCING ON THE CEILING,https://music.youtube.com/search?q=LIONEL+RICHIE+DANCING+ON+THE+CEILING
ANIMOTION,I ENGINEER,https://music.youtube.com/search?q=ANIMOTION+I+ENGINEER
JIMMY BARNES,WORKING CLASS MAN,https://music.youtube.com/search?q=JIMMY+BARNES+WORKING+CLASS+MAN
BIG SUPREME,LET'S TURN OUR LOVE AROUND,https://music.youtube.com/search?q=BIG+SUPREME+LET%27S+TURN+OUR+LOVE+AROUND
BODEANS,STILL THE NIGHT,https://music.youtube.com/search?q=BODEANS+STILL+THE+NIGHT
PETER CETERA,GLORY OF LOVE,https://music.youtube.com/search?q=PETER+CETERA+GLORY+OF+LOVE
PAUL McCARTNEY,PRESS,https://music.youtube.com/search?q=PAUL+McCARTNEY+PRESS
SVEN-INGVARS,DET TROR JAG INTE PÅ (JOKER),https://music.youtube.com/search?q=SVEN-INGVARS+DET+TROR+JAG+INTE+P%C3%85+%28JOKER%29
JOAN ARMATRADING,KIND WORDS (AND A REAL GOOD HEART),https://music.youtube.com/search?q=JOAN+ARMATRADING+KIND+WORDS+%28AND+A+REAL+GOOD+HEART%29
MASON RUFFNER,DOWN TO NEW ORLEANS,https://music.youtube.com/search?q=MASON+RUFFNER+DOWN+TO+NEW+ORLEANS
LOZ NETTO,SILENT MOVIE,https://music.youtube.com/search?q=LOZ+NETTO+SILENT+MOVIE
PUGH ROGEFELDT,2=1,https://music.youtube.com/search?q=PUGH+ROGEFELDT+2%3D1
JIMI HENDRIX,THE WIND CRIES MARY (JOKER),https://music.youtube.com/search?q=JIMI+HENDRIX+THE+WIND+CRIES+MARY+%28JOKER%29
ROBERT PALMER,I DIDN'T MEAN TO TURN YOU ON,https://music.youtube.com/search?q=ROBERT+PALMER+I+DIDN%27T+MEAN+TO+TURN+YOU+ON
SOUND OF MUSIC,LISTEN TO THE RADIO,https://music.youtube.com/search?q=SOUND+OF+MUSIC+LISTEN+TO+THE+RADIO
PASSAGERARNA,VI ÄR VINGAR,https://music.youtube.com/search?q=PASSAGERARNA+VI+%C3%84R+VINGAR
HOUSEMARTINS,HAPPY HOUR,https://music.youtube.com/search?q=HOUSEMARTINS+HAPPY+HOUR
HOLLYWOOD BEYOND,WHAT'S THE COLOUR OF MONEY?,https://music.youtube.com/search?q=HOLLYWOOD+BEYOND+WHAT%27S+THE+COLOUR+OF+MONEY%3F
TOM & MICK & MANIACS,SOMEBODY'S TAKEN MARIA AWAY (JOKER),https://music.youtube.com/search?q=TOM+%26+MICK+%26+MANIACS+SOMEBODY%27S+TAKEN+MARIA+AWAY+%28JOKER%29
TRICKY TRACK,THIS TIME,https://music.youtube.com/search?q=TRICKY+TRACK+THIS+TIME
DARYL HALL,DREAMTIME,https://music.youtube.com/search?q=DARYL+HALL+DREAMTIME
MICHAEL McDONALD,SWEET FREEDOM,https://music.youtube.com/search?q=MICHAEL+McDONALD+SWEET+FREEDOM
NEIL YOUNG,TOUCH THE NIGHT,https://music.youtube.com/search?q=NEIL+YOUNG+TOUCH+THE+NIGHT
HUEY LEWIS & THE NEWS,STUCK WITH YOU,https://music.youtube.com/search?q=HUEY+LEWIS+%26+THE+NEWS+STUCK+WITH+YOU
ROD STEWART,WHO'S GONNA TAKE ME HOME,https://music.youtube.com/search?q=ROD+STEWART+WHO%27S+GONNA+TAKE+ME+HOME
NICOLETTE LARSEN,DON'T GIVE UP,https://music.youtube.com/search?q=NICOLETTE+LARSEN+DON%27T+GIVE+UP
DEVICE,HANGING ON A HEART ATTACK,https://music.youtube.com/search?q=DEVICE+HANGING+ON+A+HEART+ATTACK
MOVING FINGERS,ROME LIES BURNING,https://music.youtube.com/search?q=MOVING+FINGERS+ROME+LIES+BURNING
ABBA,RING RING (JOKER),https://music.youtube.com/search?q=ABBA+RING+RING+%28JOKER%29
BONNIE RAITT,NO WAY TO TREAT A LADY,https://music.youtube.com/search?q=BONNIE+RAITT+NO+WAY+TO+TREAT+A+LADY
STATUS QUO,RED SKY,https://music.youtube.com/search?q=STATUS+QUO+RED+SKY
BEATLES,SHE LOVES YOU (JOKER),https://music.youtube.com/search?q=BEATLES+SHE+LOVES+YOU+%28JOKER%29
TINA TURNER,TYPICAL MALE,https://music.youtube.com/search?q=TINA+TURNER+TYPICAL+MALE
MICHAEL DES BARRES,IS THERE SOMEONE ELSE?,https://music.youtube.com/search?q=MICHAEL+DES+BARRES+IS+THERE+SOMEONE+ELSE%3F
ANNA,30 SKÄL,https://music.youtube.com/search?q=ANNA+30+SK%C3%84L
BOX TOPS,THE LETTER (JOKER),https://music.youtube.com/search?q=BOX+TOPS+THE+LETTER+%28JOKER%29
U2,I STILL HAVEN'T FOUND WHAT I'M LOOKING FOR,https://music.youtube.com/search?q=U2+I+STILL+HAVEN%27T+FOUND+WHAT+I%27M+LOOKING+FOR
MILLAS MIRAKEL!,RYTMEN AV ETT REGN,https://music.youtube.com/search?q=MILLAS+MIRAKEL%21+RYTMEN+AV+ETT+REGN
SUZANNE VEGA,LUKA,https://music.youtube.com/search?q=SUZANNE+VEGA+LUKA
STYLE,RUN FOR YOUR LIFE,https://music.youtube.com/search?q=STYLE+RUN+FOR+YOUR+LIFE
